19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2a4xr94zf2scg7h3j2gqrt03l96ldgrxwunwy/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2l9grqmt2znq867hlfw2qluj359kd2fdx423v/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1ptyzewnns2kn37ewtmv6ppsvhdnmeapv5du3q4/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1ptf3vl23eep60tn5hrzyp77n434jfta5fhscf4/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pttgx9varte39sh58hje3g7nzcmaafq9j4aj5t/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pt0wkmnxm7a6wrzya9css6gnvj693xuqyzc4jj/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1ptstf93ustgrzz69w4y47laelccsxv4a6283pk/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pt3yr5fqt03c9dzcazcausm0c9utsf4qvc5sfz/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvzdcuq3prrwthryjeyxtzns4s75qhd5546jal/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvz6pwchap2qkknf6a66aqzjmr4jd4tfq660tz/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvxxlaq2mxef9xn2v3vpx3ynd48u4avdp7czy3/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pv8shjh4247g5jdnyvsx2l02k4aung55nzmmwa/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvgyc3rcnlpyl8gkzgax3x8ewexq2fvvp396xn/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvfc2fvwfkc3wv0trc9wkk4922vkz0hg26vsdc/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvdpewh4d87esa7k8qryvpvcef2g2e2vxhhnlm/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pv44049a79s903dk4agkt3jrr5d2j2q0ltpdu5/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvcm3nx4qtuljps2uu6c7teaqmzr9jvlh3p9q9/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvusxhd6qfp06snafv6nw9j8c3y4wnc9dlacfm/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pva5qwqzzlr598m6v94rvmppy9japzps0zgn6m/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvlcus3aclhld8f5g4pefj4ne8pye9kncj6805/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pdy5thcak2v34murn4nstt7k5xejj242up9xhh/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pd8565l43drs293ykaxyen0lknynu7sc6sw4rl/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pdwnnuxe6zpw2c4ag85yu6ckahhfp2fess6ktr/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pd55d0jk246fps6rkx930zgzqzu2hny38xwnc5/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pwza48p44cu9caawe47kvlzqcjzcuhkm5qt5ur/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pw9dsh3385hxr0tjulqq5y5334mzcryf3mj7cq/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pwd6attcyatww4u0tfp9yc20wam5nx25d4x5lf/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pwjc9nses6qzt73kvvm2uelzvfmz7glesvlws6/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pwhmecpmtxs58xedwj9mttu3rh2feldtk785t6/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rdjwym4zsag45gf6qqjw8w6pgvgmjumrrz4ep3/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rd78ktc3j8mhnvr8kt4mmyyex89uegywzc8fvm/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rdlmnf3jttd38ety090jdzyce2f2ea6m0fdvjp/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rwz0epqarnw5ggqz3qnhlawvwus0wdggvljw59/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rw5eyc2cdjjqv06zgu97pl8lfr2sjr5l96mnfv/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rwlrfkh6642x57r35zwzrz63gzphck0q9k4ewz/by_denom?denom=ubcna"
